season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Iowa,Michigan State,(12 | 14],-0.006751259,0.006751259
2017,Iowa,Michigan State,(16 | 18],-0.006396777,0.006396777
2017,Iowa,Michigan State,(34 | 36],0.005333333,0.005333333
2017,Iowa,Michigan State,(6 | 8],0.004286002,0.004286002
2017,Iowa,Michigan State,(14 | 16],-0.003730111,0.003730111
2017,Iowa,Michigan State,(42 | 44],-0.003021148,0.003021148
2017,Iowa,Michigan State,(48 | 50],-0.003021148,0.003021148
2017,Iowa,Michigan State,(24 | 26],0.002666667,0.002666667
2017,Iowa,Michigan State,(52 | 54],0.002666667,0.002666667
2017,Iowa,Michigan State,(56 | 58],0.002666667,0.002666667
2017,Iowa,Michigan State,(20 | 22],0.002312185,0.002312185
2017,Iowa,Michigan State,(-6 | -4],0.001957704,0.001957704
2017,Iowa,Michigan State,(22 | 24],-0.000708963,0.000708963
2017,Iowa,Michigan State,(32 | 34],-0.000354481,0.000354481
2017,Iowa,Michigan State,(8 | 10],-0.000338369,0.000338369
2017,Iowa,Michigan State,(-22 | -20],0,0
2017,Iowa,Michigan State,(-20 | -18],0,0
2017,Iowa,Michigan State,(-18 | -16],0,0
2017,Iowa,Michigan State,(-16 | -14],0,0
2017,Iowa,Michigan State,(-14 | -12],0,0
2017,Iowa,Michigan State,(-12 | -10],0,0
2017,Iowa,Michigan State,(-10 | -8],0,0
2017,Iowa,Michigan State,(-8 | -6],0,0
2017,Iowa,Michigan State,(26 | 28],0,0
2017,Iowa,Michigan State,(30 | 32],0,0
2017,Iowa,Michigan State,(36 | 38],0,0
2017,Iowa,Michigan State,(38 | 40],0,0
2017,Iowa,Michigan State,(40 | 42],0,0
2017,Iowa,Michigan State,(44 | 46],0,0
2017,Iowa,Michigan State,(46 | 48],0,0
2017,Iowa,Michigan State,(50 | 52],0,0
2017,Iowa,Michigan State,(54 | 56],0,0
2017,Iowa,Michigan State,(58 | 60],0,0
2017,Iowa,Michigan State,(60 | 62],0,0
2017,Iowa,Michigan State,(62 | 64],0,0
2017,Iowa,Michigan State,(64 | 66],0,0
2017,Iowa,Michigan State,(66 | 68],0,0
2017,Iowa,Michigan State,(68 | 70],0,0
2017,Iowa,Michigan State,(70 | 72],0,0
2017,Iowa,Michigan State,(72 | 74],0,0
2017,Iowa,Michigan State,(74 | 76],0,0
2017,Iowa,Michigan State,(76 | 78],0,0
2017,Iowa,Michigan State,(78 | 80],0,0
2017,Iowa,Michigan State,(80 | 82],0,0
2017,Iowa,Michigan State,(82 | 84],0,0
2017,Iowa,Michigan State,(84 | 86],0,0
2017,Iowa,Michigan State,(86 | 88],0,0
2017,Iowa,Michigan State,(88 | 90],0,0
2017,Iowa,Michigan State,(90 | 92],0,0
2017,Iowa,Michigan State,(92 | 94],0,0
2017,Iowa,Michigan State,(94 | 96],0,0
2017,Iowa,Michigan State,(96 | 98],0,0
2017,Iowa,Ohio State,(-4 | -2],0.046690619,0.046690619
2017,Iowa,Ohio State,(0 | 2],0.046371257,0.046371257
2017,Iowa,Ohio State,(-2 | 0],0.034155689,0.034155689
2017,Iowa,Ohio State,(6 | 8],-0.031153692,0.031153692
2017,Iowa,Ohio State,(2 | 4],-0.030491018,0.030491018
2017,Iowa,Ohio State,(4 | 6],-0.02198004,0.02198004
2017,Iowa,Ohio State,(12 | 14],-0.018618763,0.018618763
2017,Iowa,Ohio State,(18 | 20],0.013333333,0.013333333
2017,Iowa,Ohio State,(34 | 36],-0.009636727,0.009636727
2017,Iowa,Ohio State,(-6 | -4],0.008,0.008
2017,Iowa,Ohio State,(28 | 30],0.008,0.008
2017,Iowa,Ohio State,(20 | 22],-0.006642715,0.006642715
2017,Iowa,Ohio State,(16 | 18],-0.006315369,0.006315369
2017,Iowa,Ohio State,(50 | 52],-0.005988024,0.005988024
2017,Iowa,Ohio State,(14 | 16],-0.003648703,0.003648703
2017,Iowa,Ohio State,(24 | 26],-0.003321357,0.003321357
2017,Iowa,Ohio State,(-8 | -6],-0.002994012,0.002994012
2017,Iowa,Ohio State,(26 | 28],-0.002994012,0.002994012
2017,Iowa,Ohio State,(42 | 44],-0.002994012,0.002994012
2017,Iowa,Ohio State,(46 | 48],-0.002994012,0.002994012
2017,Iowa,Ohio State,(76 | 78],-0.002994012,0.002994012
2017,Iowa,Ohio State,(80 | 82],-0.002994012,0.002994012
2017,Iowa,Ohio State,(56 | 58],0.002666667,0.002666667
2017,Iowa,Ohio State,(10 | 12],-0.002243513,0.002243513
2017,Iowa,Ohio State,(22 | 24],-0.000654691,0.000654691
2017,Iowa,Ohio State,(32 | 34],-0.000327345,0.000327345
2017,Iowa,Ohio State,(52 | 54],-0.000327345,0.000327345
2017,Iowa,Ohio State,(8 | 10],9.58E-05,9.58E-05
2017,Iowa,Ohio State,(-22 | -20],0,0
2017,Iowa,Ohio State,(-20 | -18],0,0
2017,Iowa,Ohio State,(-18 | -16],0,0
2017,Iowa,Ohio State,(-16 | -14],0,0
2017,Iowa,Ohio State,(-14 | -12],0,0
2017,Iowa,Ohio State,(-12 | -10],0,0
2017,Iowa,Ohio State,(-10 | -8],0,0
2017,Iowa,Ohio State,(30 | 32],0,0
2017,Iowa,Ohio State,(36 | 38],0,0
2017,Iowa,Ohio State,(38 | 40],0,0
2017,Iowa,Ohio State,(40 | 42],0,0
2017,Iowa,Ohio State,(44 | 46],0,0
2017,Iowa,Ohio State,(48 | 50],0,0
2017,Iowa,Ohio State,(54 | 56],0,0
2017,Iowa,Ohio State,(58 | 60],0,0
2017,Iowa,Ohio State,(60 | 62],0,0
2017,Iowa,Ohio State,(62 | 64],0,0
2017,Iowa,Ohio State,(64 | 66],0,0
2017,Iowa,Ohio State,(66 | 68],0,0
2017,Iowa,Ohio State,(68 | 70],0,0
2017,Iowa,Ohio State,(70 | 72],0,0
2017,Iowa,Ohio State,(72 | 74],0,0
2017,Iowa,Ohio State,(74 | 76],0,0
2017,Iowa,Ohio State,(78 | 80],0,0
2017,Iowa,Ohio State,(82 | 84],0,0
2017,Iowa,Ohio State,(84 | 86],0,0
2017,Iowa,Ohio State,(86 | 88],0,0
2017,Iowa,Ohio State,(88 | 90],0,0
2017,Iowa,Ohio State,(90 | 92],0,0
2017,Iowa,Ohio State,(92 | 94],0,0
2017,Iowa,Ohio State,(94 | 96],0,0
2017,Iowa,Ohio State,(96 | 98],0,0
2017,Iowa,Penn State,(2 | 4],0.060206897,0.060206897
2017,Iowa,Penn State,(6 | 8],-0.049091954,0.049091954
2017,Iowa,Penn State,(-6 | -4],-0.043724138,0.043724138
2017,Iowa,Penn State,(-2 | 0],0.038724138,0.038724138
2017,Iowa,Penn State,(-8 | -6],-0.030172414,0.030172414
2017,Iowa,Penn State,(4 | 6],0.025356322,0.025356322
2017,Iowa,Penn State,(0 | 2],0.025103448,0.025103448
2017,Iowa,Penn State,(14 | 16],-0.020528736,0.020528736
2017,Iowa,Penn State,(8 | 10],0.017827586,0.017827586
2017,Iowa,Penn State,(18 | 20],0.013333333,0.013333333
2017,Iowa,Penn State,(-4 | -2],-0.01029885,0.01029885
2017,Iowa,Penn State,(10 | 12],0.008183908,0.008183908
2017,Iowa,Penn State,(16 | 18],-0.005954023,0.005954023
2017,Iowa,Penn State,(24 | 26],-0.005954023,0.005954023
2017,Iowa,Penn State,(22 | 24],0.005333333,0.005333333
2017,Iowa,Penn State,(28 | 30],-0.004931034,0.004931034
2017,Iowa,Penn State,(30 | 32],-0.004310345,0.004310345
2017,Iowa,Penn State,(42 | 44],-0.004310345,0.004310345
2017,Iowa,Penn State,(64 | 66],-0.004310345,0.004310345
2017,Iowa,Penn State,(68 | 70],-0.004310345,0.004310345
2017,Iowa,Penn State,(78 | 80],-0.004310345,0.004310345
2017,Iowa,Penn State,(34 | 36],-0.003287357,0.003287357
2017,Iowa,Penn State,(56 | 58],0.002666667,0.002666667
2017,Iowa,Penn State,(32 | 34],-0.001643678,0.001643678
2017,Iowa,Penn State,(52 | 54],-0.001643678,0.001643678
2017,Iowa,Penn State,(12 | 14],0.001022988,0.001022988
2017,Iowa,Penn State,(20 | 22],0.001022988,0.001022988
2017,Iowa,Penn State,(-22 | -20],0,0
2017,Iowa,Penn State,(-20 | -18],0,0
2017,Iowa,Penn State,(-18 | -16],0,0
2017,Iowa,Penn State,(-16 | -14],0,0
2017,Iowa,Penn State,(-14 | -12],0,0
2017,Iowa,Penn State,(-12 | -10],0,0
2017,Iowa,Penn State,(-10 | -8],0,0
2017,Iowa,Penn State,(26 | 28],0,0
2017,Iowa,Penn State,(36 | 38],0,0
2017,Iowa,Penn State,(38 | 40],0,0
2017,Iowa,Penn State,(40 | 42],0,0
2017,Iowa,Penn State,(44 | 46],0,0
2017,Iowa,Penn State,(46 | 48],0,0
2017,Iowa,Penn State,(48 | 50],0,0
2017,Iowa,Penn State,(50 | 52],0,0
2017,Iowa,Penn State,(54 | 56],0,0
2017,Iowa,Penn State,(58 | 60],0,0
2017,Iowa,Penn State,(60 | 62],0,0
2017,Iowa,Penn State,(62 | 64],0,0
2017,Iowa,Penn State,(66 | 68],0,0
2017,Iowa,Penn State,(70 | 72],0,0
2017,Iowa,Penn State,(72 | 74],0,0
2017,Iowa,Penn State,(74 | 76],0,0
2017,Iowa,Penn State,(76 | 78],0,0
2017,Iowa,Penn State,(80 | 82],0,0
2017,Iowa,Penn State,(82 | 84],0,0
2017,Iowa,Penn State,(84 | 86],0,0
2017,Iowa,Penn State,(86 | 88],0,0
2017,Iowa,Penn State,(88 | 90],0,0
2017,Iowa,Penn State,(90 | 92],0,0
2017,Iowa,Penn State,(92 | 94],0,0
2017,Iowa,Penn State,(94 | 96],0,0
2017,Iowa,Penn State,(96 | 98],0,0
2017,Iowa,Wisconsin,(-4 | -2],0.035137255,0.035137255
2017,Iowa,Wisconsin,(6 | 8],-0.019764706,0.019764706
2017,Iowa,Wisconsin,(12 | 14],-0.016235294,0.016235294
2017,Iowa,Wisconsin,(2 | 4],0.016156863,0.016156863
2017,Iowa,Wisconsin,(0 | 2],0.012392157,0.012392157
2017,Iowa,Wisconsin,(16 | 18],-0.009098039,0.009098039
2017,Iowa,Wisconsin,(18 | 20],0.00745098,0.00745098
2017,Iowa,Wisconsin,(14 | 16],-0.006431373,0.006431373
2017,Iowa,Wisconsin,(10 | 12],-0.006352941,0.006352941
2017,Iowa,Wisconsin,(4 | 6],-0.006117647,0.006117647
2017,Iowa,Wisconsin,(34 | 36],0.005333333,0.005333333
